Pali_Word,N_Han_Variants,Translation_Entropy,Primary_Han,Primary_Score,All_Han_Variants,All_Scores,Interpretation
patisamvedeti,5,2.322,不斷,38.723,不斷|成藥|報知|喜愛可法|習行,38.7|38.7|38.7|38.7|38.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
vijjati,5,2.322,生地,38.272,生地|受苦|身妙|身壞命|惡行,38.3|38.3|38.3|38.3|38.3,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
nigantha,5,2.322,行常立,40.336,行常立|何故|往問|尊師尼|諸尼,40.3|39.7|39.7|39.7|39.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
udayi,5,2.322,阿夷,38.105,阿夷|眾千|婆利名|領大|論沙門,38.1|38.1|38.1|38.1|38.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sukham,5,2.322,不斷,37.466,不斷|真習|生不喜|彼習|彼慧者,37.5|37.5|37.5|37.5|37.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sukhena,5,2.322,種藥,37.319,種藥|服服|彼習|腹|咽服,37.3|37.3|37.3|37.3|37.3,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
assalayano,5,2.322,賢,38.762,賢|門|攝|納|邏,38.8|38.1|37.0|37.0|36.4,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
janatha,5,2.322,尊師尼,39.945,尊師尼|行常立|何故|往問|諸尼,39.9|39.9|39.9|39.9|39.9,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
samanabrahmana,5,2.322,受不施,26.834,受不施|受戒|受然|受施|受見,26.8|26.8|26.8|26.8|26.8,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
khomhi,5,2.322,豪貴族,25.649,豪貴族|何不|故斷|豪貴|佛言云,25.6|25.6|25.6|25.6|25.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
parikkamanaya,5,2.322,對,32.27,對|增|愧|慙|疑惑,32.3|32.0|31.7|31.2|31.2,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
brahmano,5,2.322,諸佛,29.399,諸佛|具為|梵摩即|正要|苦習,29.4|29.4|29.4|29.4|29.4,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
annam,5,2.322,不終,32.135,不終|莫令餘|坐問|因餘|佛前,32.1|30.9|30.9|30.9|30.9,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
parinibbanaya,5,2.322,對,32.184,對|增|愧|慙|疑惑,32.2|32.1|31.8|31.3|31.3,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
purisapuggalassa,5,2.322,對,32.217,對|增|愧|疑惑|慙,32.2|32.0|31.7|31.2|31.2,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
patisancikkhati,5,2.322,法向,32.053,法向|彼行法|佛言云|豪貴|何不,32.1|32.1|32.1|32.1|32.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
viharantena,5,2.322,問律,33.639,問律|致|曇者則|答律|責是,33.6|33.6|33.6|33.6|33.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sanghe,5,2.322,訶數,33.16,訶數|諸賢無事|至眾|致|曇者則,33.2|33.2|33.2|33.2|33.2,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
brahmayu,5,2.322,梵摩即,32.836,梵摩即|苦習|諸佛|正要|具為,32.8|32.8|32.8|32.8|32.8,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
aranniko,5,2.322,詰,32.821,詰|中亦致|訶數|至眾|無事何,32.8|32.8|32.8|32.8|32.8,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
asappuriso,5,2.322,何不,32.66,何不|豪貴|故自貴|佛言云|故斷,32.7|32.7|32.7|32.7|32.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
parinnam,5,2.322,設斷,32.654,設斷|雖施|正非|不施|何彼沙門,32.7|32.7|32.7|32.7|32.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
vedana,5,2.322,答曰釋,32.455,答曰釋|鬪|清|天使|覺患,32.5|32.5|32.5|32.1|31.4,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
vattaro,5,2.322,無事何,33.639,無事何|無事行|中亦致|行無事|至眾,33.6|33.6|33.6|33.6|33.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
pananne,5,2.322,何不,34.063,何不|故自貴|佛言云|豪貴族|法向,34.1|34.1|34.1|34.1|34.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
attanukkamseti,5,2.322,豪貴,34.063,豪貴|法向|故斷|佛言云|彼行法,34.1|34.1|34.1|34.1|34.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sanghagatena,5,2.322,無事,33.639,無事|無事時|諸賢無事|當學共論律|故諸賢,33.6|33.6|33.6|33.6|33.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
arannikenavuso,5,2.322,無事行,33.639,無事行|故諸賢|問律|無事時|詰,33.6|33.6|33.6|33.6|33.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
arannikena,5,2.322,答律,33.639,答律|無事時|問律|故諸賢|至眾,33.6|33.6|33.6|33.6|33.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
vambheti,5,2.322,賤,33.639,賤|不自貴|趣向|豪貴族|佛言云,33.6|33.6|33.6|33.3|33.3,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
kupito,5,2.322,佛前,34.502,佛前|說賢者|坐問|法為諸|欲令,34.5|34.5|34.5|34.5|34.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
appatito,5,2.322,欲令,34.502,欲令|佛前|坐問|法為諸|莫令餘,34.5|34.5|34.5|34.5|34.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
abhinnaya,5,2.322,世彼,20.699,世彼|彼計淨|淨無量|神所神|生主,20.7|20.7|20.7|20.7|20.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
teneva,5,2.322,法若,20.662,法若|故諸|不惡|一人善語|善語法,20.7|20.7|20.7|20.7|20.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sutam,5,2.322,神所神,20.494,神所神|彼世|世彼|淨無量|生主,20.5|20.4|19.8|19.8|19.8,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
khvayam,5,2.322,不念欲者,20.497,不念欲者|不惡|法若|行染|不染,20.5|20.5|20.5|20.5|20.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
bhavissami,5,2.322,不請諸,20.058,不請諸|故諸|不惡|善語法|不染,20.1|20.1|20.1|20.1|20.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
tanca,5,2.322,如覺,17.66,如覺|不苦|觀覺|不樂|無欲覺,17.7|17.4|17.4|17.1|16.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
dhammo,5,2.322,我教,18.872,我教|諸尊語|法若|不染|不惡,18.9|18.9|18.9|18.9|18.9,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
ahanceva,5,2.322,行染,19.974,行染|不染|諸尊語|法若|我教,20.0|20.0|20.0|20.0|20.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
piyarupam,5,2.322,如覺,17.643,如覺|觀覺|不苦|不樂|覺有,17.6|17.4|17.4|17.1|17.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
satarupam,5,2.322,如覺,17.643,如覺|觀覺|不苦|不樂|知覺,17.6|17.4|17.4|17.1|17.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sabbam,5,2.322,神所神,18.207,神所神|彼世|世彼|彼計淨|淨無量,18.2|18.1|17.5|17.5|17.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
uppado,5,2.322,如覺,17.059,如覺|少少|欲苦|知覺|覺有,17.1|17.1|17.1|17.1|17.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
anuppado,5,2.322,欲苦,17.059,欲苦|覺念處|覺如覺|知覺|覺有,17.1|17.1|17.1|17.1|17.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
bhavita,5,2.322,覺念處,17.059,覺念處|覺如覺|欲苦|少少|覺有,17.1|17.1|17.1|17.1|17.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
pahinassa,5,2.322,知覺,17.059,知覺|欲苦|少少|如覺|覺念處,17.1|17.1|17.1|17.1|17.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
anuppannassa,5,2.322,如覺,17.059,如覺|觀內覺|欲苦|知覺|少少,17.1|17.1|17.1|17.1|17.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
ettha,5,2.322,如覺,15.481,如覺|覺有|觀內覺|覺如覺|知覺,15.5|15.5|15.5|15.5|15.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
bahulikata,5,2.322,覺如覺,16.475,覺如覺|知覺|如覺|覺有|欲苦,16.5|16.5|16.5|16.5|16.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
kassaci,5,2.322,如覺,15.953,如覺|少少|欲苦|覺如覺|觀內覺,16.0|16.0|16.0|16.0|16.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
ajjhattabahiddha,5,2.322,覺有,15.953,覺有|知覺|少少|覺念處|觀內覺,16.0|16.0|16.0|16.0|16.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
ahampassam,5,2.322,不念欲者,20.976,不念欲者|不染|故諸|行染|善語法,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
vihatabbam,5,2.322,行染,20.976,行染|不請諸|不念欲者|不染|不惡,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
uppadetabbam,5,2.322,不惡,20.976,不惡|不染|法若|不念欲者|行染,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
codito,5,2.322,一人善語,20.976,一人善語|我教|善語法|我訶|莫難,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
tasma,5,2.322,致,28.346,致|詰|答律|無事何|曇者則,28.3|28.3|28.3|28.3|28.3,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
bhante,5,2.322,不受,28.256,不受|願佛|生兜瑟|時始|迦葉佛,28.3|28.1|28.1|28.1|28.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
samatikkamaya,5,2.322,牀,29.225,牀|取水|出迎|提為|攝佛,29.2|28.9|28.9|28.9|28.7,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
adhigato,5,2.322,牀,29.225,牀|取水|提為|出迎|攝佛,29.2|28.9|28.9|28.9|28.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
phasuviharo,5,2.322,牀,29.225,牀|出迎|提為|取水|攝佛,29.2|28.9|28.9|28.9|28.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
patippassaddhiya,5,2.322,牀,29.225,牀|提為|取水|出迎|攝佛,29.2|28.9|28.9|28.9|28.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
viharassa,5,2.322,牀,29.225,牀|提為|取水|出迎|金,29.2|28.9|28.9|28.9|28.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
alamariyananadassanaviseso,5,2.322,牀,29.225,牀|取水|提為|出迎|金,29.2|28.9|28.9|28.9|28.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
bhute,5,2.322,神所神,22.781,神所神|彼世|淨無量|生主|世彼,22.8|22.6|22.1|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
vayam,5,2.322,神所神,22.781,神所神|彼世|生主|彼計淨|世彼,22.8|22.6|22.1|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
subhakinhe,5,2.322,神所神,23.249,神所神|彼世|生主|淨無量|彼計淨,23.2|23.1|22.1|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
vehapphale,5,2.322,神所神,23.249,神所神|彼世|淨無量|生主|世彼,23.2|23.1|22.1|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
abhassare,5,2.322,神所神,23.249,神所神|彼世|淨無量|生主|彼計淨,23.2|23.1|22.1|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
pajapatim,5,2.322,神所神,23.249,神所神|彼世|淨無量|彼計淨|生主,23.2|23.1|22.1|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
amanapo,5,2.322,善語法,24.26,善語法|不惡|彼善|善語|教善訶不難,24.3|24.3|24.0|24.0|24.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
disaya,5,2.322,淨浴,25.155,淨浴|諸惡|因是|諸漏|熱苦報,25.2|25.2|25.2|24.4|24.4,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
tejam,5,2.322,神所神,22.781,神所神|彼世|世彼|生主|淨無量,22.8|22.6|22.1|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
appiyo,5,2.322,善語法,24.26,善語法|不惡|教善訶不難|彼善|善語,24.3|24.3|24.0|24.0|24.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
etassa,5,2.322,牀,27.361,牀|提為|取水|出迎|攝佛,27.4|27.1|27.1|27.1|26.8,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
caparam,5,2.322,豪貴,26.924,豪貴|故自貴|何不|佛言云|故斷,26.9|26.9|26.9|26.9|26.9,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
codakam,5,2.322,故諸,20.976,故諸|善語法|法若|不念欲者|不惡,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sovacassakarano,5,2.322,一人善語,20.976,一人善語|我教|善語法|法若|故諸,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
pitipamojjena,5,2.322,諸尊語,20.976,諸尊語|故諸|不請諸|善語法|一人善語,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
paresam,5,2.322,故諸,20.976,故諸|行染|善語法|不染|一人善語,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
codakena,5,2.322,不念欲者,20.976,不念欲者|行染|不惡|法若|莫難,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
yampavuso,5,2.322,諸尊語,20.976,諸尊語|不請諸|我教|我訶|不念欲者,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
kusalesu,5,2.322,不念欲者,20.976,不念欲者|行染|不惡|不染|一人善語,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
janantenavuso,5,2.322,不惡,20.976,不惡|不念欲者|不染|行染|故諸,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sanjanati,5,2.322,生主,21.212,生主|淨無量|神所神|彼計淨|世彼,21.2|21.2|21.2|21.2|21.2,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
akasanancayatanam,5,2.322,神所神,21.247,神所神|彼世|神|彼計淨|世彼,21.2|21.1|20.5|20.2|20.2,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
dittham,5,2.322,神所神,21.523,神所神|彼世|生主|淨無量|世彼,21.5|21.4|20.9|20.9|20.9,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
ekattam,5,2.322,神所神,22.117,神所神|彼世|生主|淨無量|世彼,22.1|22.0|21.5|21.5|21.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
mutam,5,2.322,神所神,22.117,神所神|彼世|世彼|生主|淨無量,22.1|22.0|21.5|21.5|21.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
abhijanati,5,2.322,神所神,22.117,神所神|生主|彼計淨|淨無量|世彼,22.1|22.1|22.1|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
vinnatam,5,2.322,神所神,22.117,神所神|彼世|生主|彼計淨|淨無量,22.1|22.0|21.5|21.5|21.5,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
pathaviya,5,2.322,淨無量,22.117,淨無量|生主|世彼|彼計淨|神所神,22.1|22.1|22.1|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
abhinandati,5,2.322,神所神,22.117,神所神|生主|世彼|淨無量|彼計淨,22.1|22.1|22.1|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
brahmam,5,2.322,神所神,22.781,神所神|彼世|生主|彼計淨|淨無量,22.8|22.6|22.1|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
nanattam,5,2.322,神所神,22.781,神所神|彼世|淨無量|彼計淨|世彼,22.8|22.6|22.1|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
abhibhum,5,2.322,神所神,22.781,神所神|彼世|生主|淨無量|彼計淨,22.8|22.6|22.1|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
labhati,5,2.322,如覺,17.059,如覺|不苦|觀覺|不樂|無欲覺,17.1|16.8|16.8|16.5|16.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
etthesa,5,2.322,如覺,17.059,如覺|少少|覺念處|欲苦|覺有,17.1|17.1|17.1|17.1|17.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
kayagatasati,5,2.322,覺念處,17.059,覺念處|少少|如覺|覺如覺|欲苦,17.1|17.1|17.1|17.1|17.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
ahorattanusikkhina,5,2.322,我訶,20.976,我訶|諸尊語|不請諸|一人善語|不染,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
tenavuso,5,2.322,我教,20.976,我教|我訶|法若|一人善語|莫難,21.0|21.0|21.0|21.0|21.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
akincannayatanam,5,2.322,神所神,20.858,神所神|彼世|神|世彼|淨無量,20.9|20.7|20.1|19.8|19.8,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
paccavekkhamano,5,2.322,善語法,20.783,善語法|行染|不念欲者|不請諸|我教,20.8|20.8|20.8|20.8|20.8,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
nitthito,5,2.322,彼世,20.728,彼世|見聞識|至此|世至|神淨,20.7|20.7|20.7|20.7|20.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
puggalo,5,2.322,善語法,20.976,善語法|不惡|彼善|善語|教善訶不難,21.0|21.0|20.7|20.7|20.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
kodhano,5,2.322,善語法,20.976,善語法|不惡|教善訶不難|彼善|善語,21.0|21.0|20.7|20.7|20.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
kodhahetu,5,2.322,不惡,20.976,不惡|善語法|教善訶不難|善語|彼善,21.0|21.0|20.7|20.7|20.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
deseyya,5,2.321,佛前,35.331,佛前|法為諸|坐問|莫令餘|因餘,35.3|35.3|35.3|32.5|32.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
yassa,5,2.321,觀覺,16.841,觀覺|如覺|無欲覺|不苦|不樂,16.8|16.0|16.0|15.8|15.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
katamo,5,2.321,聖所,42.459,聖所|顛倒|不虛不離|審實合|可,42.5|42.5|42.5|42.5|39.8,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sunnamidam,5,2.321,命存,50.807,命存|漏空|身六處|疲勞|漏無明,50.8|50.8|50.8|49.7|46.9,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
patipada,5,2.321,財物,51.879,財物|相應業|疾病|端正|威德,51.9|51.9|51.9|49.7|47.8,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
kayasamacaro,5,2.321,可,46.78,可|不受|法而行|可行|可斷,46.8|45.9|44.2|44.2|43.3,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sanna,5,2.321,命存,50.807,命存|漏空|身六處|疲勞|漏無明,50.8|50.8|50.8|49.7|46.9,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
