MN_No,MA_No,Mapping_Quality,Pali_Name,Expected_Han,Found_Han,Status,Pali_Text,Han_Text
14,100,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,taṃ kiṃ maññathāvuso nigaṇṭhā evaṃ sante ko sukhavihāritaro rājā vā māgadho seniyo bimbisāro ahaṃ vā ti,靜默無言 因是七日七夜得歡喜快樂耶 尼揵答曰 不也 瞿曇 六五四三二 一日一夜得歡喜快樂耶 尼揵答曰 不也 瞿曇 復問曰 尼揵 我可得如意靜默無言 因是一日一夜得歡喜快樂耶 尼揵答曰 如是 瞿曇 二三四五六 七日七夜得歡喜快樂耶 尼揵答曰 
15,89,TRUE_PAIR,moggallana,目犍連|目乾連,,MISSING,āvuso ti kho te bhikkhū āyasmato mahāmoggallānassa paccassosuṃ āyasmā mahāmoggallāno etadavoca,爾時 尊者大目揵連告諸比丘 諸賢 若有比丘請諸比丘 諸尊 語我 教我 訶我 莫難於我 所以者何 諸賢 或有一人戾語 成就戾語法 成就戾語法故 令諸梵行者不語彼 不教 不訶而難彼人 諸賢 何者戾語法 若有成就戾語法者 諸梵行者不語彼 不教 不
18,115,TRUE_PAIR,kapilavatthu,迦維羅衛|迦毗羅衛,迦維羅衛,VARIANT,kapilavatthusmiṃ piṇḍāya caritvā pacchābhattaṃ piṇḍapātapaṭikkanto yena mahāvanaṃ tenupasaṅkami divāvihārāya,我聞如是 一時 佛遊釋羇瘦 在迦維羅衛
18,115,TRUE_PAIR,brahma,梵天|梵,,MISSING,ca viññūnaṃ sabrahmacārīnaṃ pahoti cāyasmā mahākaccāno imassa bhagavatā saṃkhittena uddesassa,尊者大迦旃延告諸比丘 諸賢等共聽我所說 諸賢 緣眼及色 生眼識 三事共會 便有更觸 緣更觸便有所覺 若所覺便想 若所想便思 若所思便念 若所念便分別 比丘者因是念出家學道 思想修習 此中過去 未來 今現在法 不愛 不樂 不著 不住 是說苦邊
18,115,TRUE_PAIR,ananda,阿難|阿難陀,,MISSING,ko nāmo ayaṃ bhante dhammapariyāyo ti tasmātiha tvaṃ ānanda imaṃ dhammapariyāyaṃ madhupiṇḍikapariyāyo tveva naṃ dhārehī ,通趣覺 趣於涅槃 若族姓子剃除鬚髮 著袈裟衣 至信 捨家 無家 學道者 當善受持此蜜丸喻
22,200,TRUE_PAIR,mara,魔|波旬,,MISSING,so tatonidānaṃ maraṇaṃ vā nigaccheyya maraṇamattaṃ vā dukkhaṃ,於是 阿梨吒比丘為世尊面訶責已 內懷憂慼 低頭默然 失辯無言 如有所伺
22,200,TRUE_PAIR,mara,魔|波旬,,MISSING,aṅgapaccaṅgaṃ bhogehi paliveṭheyya atha kho so neva tatonidānaṃ maraṇaṃ vā nigaccheyya maraṇamattaṃ vā dukkhaṃ,舡 亦無橋梁 或有人來 而於彼岸有事欲度 彼求度時 而作是念 今此山水甚深極廣 長流駛疾 多有所漂 其中無舡亦無橋梁而可度者 我於彼岸有事欲度 當以何方便 令我安隱至彼岸耶 復作是念 我今寧可於此岸邊收聚草木 縛作
22,200,TRUE_PAIR,brahma,梵天|梵,,MISSING,evaṃvādiṃ kho maṃ bhikkhave evamakkhāyiṃ eke samaṇabrāhmaṇā asatā tucchā musā abhūtena abbhācikkhanti,受 受已 不生憂慼 不煩勞 不啼哭 不椎胸 不發狂癡 汝等見所受所可受 不生憂慼 不煩勞 不啼哭 不椎胸 不發狂癡耶
22,200,TRUE_PAIR,brahma,梵天|梵,,MISSING,yathā cāhaṃ na bhikkhave yathā cāhaṃ na vadāmi tathā maṃ te bhonto samaṇabrāhmaṇā asatā tucchā musā abhūtena abbhācikkha,世尊歎曰 善哉 善哉 汝等受如是身 所有身常住不變易 不磨滅法 汝等見受如是身所可
24,9,TRUE_PAIR,brahma,梵天|梵,,MISSING,ekamantaṃ nisinne kho te bhikkhū bhagavā etadavoca ko nu kho bhikkhave jātibhūmiyaṃ jātibhūmakānaṃ bhikkhūnaṃ sabrahmacā,是時 生地諸比丘詣世尊所 稽首作禮 却坐一面
24,9,TRUE_PAIR,brahma,梵天|梵,,MISSING,bhikkhūnaṃ kattā ovādako viññāpako sandassako samādapako samuttejako sampahaṃsako sabrahmacārīna nti,檀 結加趺坐
24,9,TRUE_PAIR,brahma,梵天|梵,,MISSING,puṇṇo nāma bhante āyasmā mantāṇiputto jātibhūmiyaṃ jātibhūmakānaṃ bhikkhūnaṃ sabrahmacārīnaṃ evaṃ,時 尊者舍梨子問餘比丘 諸賢 何者是賢者滿慈子耶
24,9,TRUE_PAIR,brahma,梵天|梵,,MISSING,viññāpako sandassako samādapako samuttejako sampahaṃsako sabrahmacārīna nti,時 尊者舍梨子知滿慈子色貌已 則善記念
24,9,TRUE_PAIR,sariputta,舍利弗|舍梨子,舍梨子,VARIANT,atha kho āyasmato sāriputtassa etadahosi lābhā āyasmato puṇṇassa mantāṇiputtassa suladdhalābhā,安陀林經行之處 尊者舍梨子亦過夜平旦 著衣持鉢 入舍衛國而行乞食 食訖中後 還舉衣鉢 澡洗手足 以尼師檀著於肩上 至安陀林經行之處
24,9,TRUE_PAIR,brahma,梵天|梵,,MISSING,āyasmato puṇṇassa mantāṇiputtassa yassa viññū sabrahmacārī satthu sammukhā anumassa anumassa vaṇṇaṃ bhāsanti,時 尊者滿慈子到安陀林 於一樹下敷尼師檀 結加趺坐 尊者舍梨子亦至安陀林 離滿慈子不遠 於一樹下敷尼師檀 結加趺坐
24,9,TRUE_PAIR,brahma,梵天|梵,梵,VARIANT,evaṃ vutte āyasmā sāriputto āyasmantaṃ puṇṇaṃ mantāṇiputtaṃ etadavoca konāmo āyasmā kathañca panāyasmantaṃ sabrahmacārī ,於是 尊者舍梨子問尊者滿慈子 賢者名何等 諸梵行人云何稱賢者耶
24,9,TRUE_PAIR,brahma,梵天|梵,梵,VARIANT,puṇṇoti kho me āvuso nāmaṃ mantāṇiputtoti ca pana maṃ sabrahmacārī jānantī ti,尊者滿慈子答曰 賢者 我號滿也 我母名慈 故諸梵行人稱我為滿慈子
24,9,TRUE_PAIR,sariputta,舍利弗|舍梨子,舍梨子,VARIANT,mayaṃ āyasmantaṃ sāriputtaṃ labhāma dassanāya labhāma payirūpāsanāyā ti,尊者滿慈子歎曰 我今與世尊弟子共論而不知 第二尊共論而不知 法將共論而不知 轉法輪復轉弟子共論而不知 若我知尊者舍梨子者 不能答一句 況復爾所深論 善哉 善哉 尊者舍梨子 為如來弟子 所作智辯聰明決定 安隱無畏 成就調御 逮大辯才 得甘露幢
25,178,TRUE_PAIR,mara,魔|波旬,,MISSING,paññāya cassa disvā āsavā parikkhīṇā honti ayaṃ vuccati bhikkhave bhikkhu andhamakāsi māraṃ apadaṃ vadhitvā māracakkhuṃ ,佛說如是 彼諸比丘聞佛所說 歡喜奉行
27,146,TRUE_PAIR,brahma,梵天|梵,,MISSING,tena kho pana samayena jāṇussoṇi brāhmaṇo sabbasetena vaḷavābhirathena sāvatthiyā niyyāti divādivassa,爾時 卑盧異學平旦則從舍衛國出 往詣佛所 稽首作禮 却坐一面 佛為彼說法 勸發渴仰 成就歡喜 無量方便為彼說法 勸發渴仰 成就歡喜已 默然而住 卑盧異學 佛為說法 勸發渴仰 成就歡喜已 即從
27,146,TRUE_PAIR,savatthi,舍衛|舍衛國,舍衛|舍衛國,MATCH,tena kho pana samayena jāṇussoṇi brāhmaṇo sabbasetena vaḷavābhirathena sāvatthiyā niyyāti divādivassa,爾時 卑盧異學平旦則從舍衛國出 往詣佛所 稽首作禮 却坐一面 佛為彼說法 勸發渴仰 成就歡喜 無量方便為彼說法 勸發渴仰 成就歡喜已 默然而住 卑盧異學 佛為說法 勸發渴仰 成就歡喜已 即從
27,146,TRUE_PAIR,brahma,梵天|梵,,MISSING,addasā kho jāṇussoṇi brāhmaṇo pilotikaṃ paribbājakaṃ dūratova āgacchantaṃ disvāna pilotikaṃ paribbājakaṃ etadavoca,坐起 稽首佛足 繞三匝而去
27,146,TRUE_PAIR,brahma,梵天|梵,,MISSING,puna caparaṃ brāhmaṇa bhikkhu vitakkavicārānaṃ vūpasamā ajjhattaṃ sampasādanaṃ cetaso ekodibhāvaṃ,伸低仰 儀容庠序 善著僧伽梨及諸衣鉢 行住坐臥 眠
27,146,TRUE_PAIR,brahma,梵天|梵,,MISSING,idampi vuccati brāhmaṇa pe suppaṭipanno bhagavato sāvakasaṅgho ti,塚間 彼已在無事處 或至樹下空安靜處 敷尼師檀 結
27,146,TRUE_PAIR,brahma,梵天|梵,,MISSING,puna caparaṃ brāhmaṇa bhikkhu pītiyā ca virāgā upekkhako ca viharati sato ca sampajāno sukhañca kāyena paṭisaṃvedeti,加趺坐 正身正願 返念不向 斷除貪伺 心無有諍 見他財物諸生活具 不起貪伺 欲令我得 彼於貪伺淨除其心
27,146,TRUE_PAIR,brahma,梵天|梵,梵,VARIANT,ettāvatā kho brāhmaṇa ariyasāvako niṭṭhaṃ gato hoti sammāsambuddho bhagavā svākkhāto bhagavatā dhammo suppaṭipanno bhaga,彼離喜欲 捨無求遊 正念正智而身覺樂 謂聖所說聖所捨 念 樂住室 逮第三禪成就遊 梵志 是謂如來所屈 如來所行 如來所服 然彼不以此為訖 世尊 如來 無所著 等正覺 世尊所說法善 如來弟子聖眾善趣 彼樂滅 苦滅 喜 憂本已滅 不苦不樂 捨念
27,146,TRUE_PAIR,brahma,梵天|梵,,MISSING,ettāvatā kho brāhmaṇa hatthipadopamo vitthārena paripūro hotī ti,彼已得如是定心 清淨無穢 無煩柔軟 善住得不動心 趣向漏盡智通作證 彼知此苦如真 知此苦
27,146,TRUE_PAIR,brahma,梵天|梵,梵,VARIANT,evaṃ vutte jāṇussoṇi brāhmaṇo bhagavantaṃ etadavoca abhikkantaṃ bho gotama abhikkantaṃ bho gotama,習 知此苦滅 知此苦滅道如真 知此漏如真 知此漏習 知此漏滅 知此漏滅道如真 彼如是知 如是見 欲漏心解脫 有漏 無明漏心解脫 解脫已 便知解脫 生已盡 梵行已立 所作已辦 不更受有 知如真 梵志 是謂如來所屈 如來所行 如來所服 彼以此為
31,185,TRUE_PAIR,brahma,梵天|梵,梵,VARIANT,pe nimmānaratī devā pe paranimmitavasavattī devā pe brahmakāyikā devā saddamanussāvesuṃ lābhā,尊者金毘羅白曰 世尊 我作是念 我有善利 有大功德 謂我與如是梵行共行 世尊 我常向彼梵行行慈身業 見與不見 等無有異 行慈口業 行慈意業 見與不見 等無有異 世尊 我作是念 我今寧可自捨己心 隨彼諸賢心 我便自捨己心 隨彼諸賢心 我未曾有
31,185,TRUE_PAIR,brahma,梵天|梵,,MISSING,itiha te āyasmanto tena khaṇena tena layena tena muhuttena yāvabrahmalokā viditā ahesuṃ evametaṃ dīgha evametaṃ dīgha,世尊歎曰 善哉 善哉 阿那律陀 捨此住止 過此度此 頗更有餘得人上之法 而有差降安樂住止耶
31,185,TRUE_PAIR,brahma,梵天|梵,梵天|梵,MATCH,sadevako cepi dīgha loko samārako sabrahmako sassamaṇabrāhmaṇī pajā sadevamanussā ete tayo,從地神聞聲 虛空天 他化樂天 須臾聲徹至于梵天 大仙人 諸跋耆人得大善利 謂現有世尊及三族姓子 尊者阿那律陀 難提 金毘羅
31,185,TRUE_PAIR,mara,魔|波旬,,MISSING,sadevako cepi dīgha loko samārako sabrahmako sassamaṇabrāhmaṇī pajā sadevamanussā ete tayo,從地神聞聲 虛空天 他化樂天 須臾聲徹至于梵天 大仙人 諸跋耆人得大善利 謂現有世尊及三族姓子 尊者阿那律陀 難提 金毘羅
31,185,TRUE_PAIR,kassapa,迦葉|大迦葉,,MISSING,kulaputte pasannacittā anussareyya sadevakassapāssa lokassa samārakassa sabrahmakassa,世尊告曰 如是 如是 長鬼天 諸跋耆人得大善利 謂現有世尊及三族姓子 尊者阿那律陀 難提 金毘羅 長鬼天 地神聞汝聲已 便放高大音聲 大仙人 諸跋耆人得大善利 謂現有世尊及三族姓子 尊者阿那律陀 難提 金毘羅 從地神聞聲 虛空天 四天王天三
31,185,TRUE_PAIR,brahma,梵天|梵,,MISSING,kulaputte pasannacittā anussareyya sadevakassapāssa lokassa samārakassa sabrahmakassa,世尊告曰 如是 如是 長鬼天 諸跋耆人得大善利 謂現有世尊及三族姓子 尊者阿那律陀 難提 金毘羅 長鬼天 地神聞汝聲已 便放高大音聲 大仙人 諸跋耆人得大善利 謂現有世尊及三族姓子 尊者阿那律陀 難提 金毘羅 從地神聞聲 虛空天 四天王天三
31,185,TRUE_PAIR,mara,魔|波旬,,MISSING,kulaputte pasannacittā anussareyya sadevakassapāssa lokassa samārakassa sabrahmakassa,世尊告曰 如是 如是 長鬼天 諸跋耆人得大善利 謂現有世尊及三族姓子 尊者阿那律陀 難提 金毘羅 長鬼天 地神聞汝聲已 便放高大音聲 大仙人 諸跋耆人得大善利 謂現有世尊及三族姓子 尊者阿那律陀 難提 金毘羅 從地神聞聲 虛空天 四天王天三
31,185,TRUE_PAIR,brahma,梵天|梵,梵天|梵,MATCH,sassamaṇabrāhmaṇiyā pajāya sadevamanussāya dīgharattaṃ hitāya sukhāya,哆天 化樂天 他化樂天 須臾聲徹至于梵天 大仙人 諸跋耆人得大善利 謂現有世尊及三族姓子 尊者阿那律陀 難提 金毘羅 長鬼天 若彼三族家 此三族姓子剃除鬚髮 著袈裟衣 至信 捨家 無家 學道 彼三族家憶此三族姓子所因 所行者 彼亦長夜得大善
32,184,TRUE_PAIR,kassapa,迦葉|大迦葉,,MISSING,tenupasaṅkami upasaṅkamitvā āyasmantaṃ mahākassapaṃ etadavoca āyāmāvuso kassapa yenāyasmā sāriputto,夜平旦 往詣尊者舍梨子所 賢者離越哆 今可共彼諸尊往詣尊者舍梨子所
32,184,TRUE_PAIR,moggallana,目犍連|目乾連,,MISSING,tenupasaṅkamissāma dhammassavanāyā ti evamāvuso ti kho āyasmā mahākassapo āyasmato mahāmoggallānassa paccassosi,尊者舍梨子遙見彼諸尊來已 尊者舍梨子因彼諸尊故說 善來 賢者阿難 善來 阿難 善來 阿難 世尊侍者解世尊意 常為世尊之所稱譽 及諸智梵行人 我今問賢者阿難 此牛角娑羅林甚可愛樂 夜有明月 諸娑羅樹皆敷妙香 猶若天花 賢者阿難 何等比丘起發牛
32,184,TRUE_PAIR,sariputta,舍利弗|舍梨子,舍梨子,VARIANT,idhāvuso sāriputta bhikkhu dibbena cakkhunā visuddhena atikkantamānusakena sahassaṃ lokānaṃ voloketi,千 意所惟觀 明見深達 彼所說法簡要捷疾 與正相應 欲斷諸結 尊者舍梨子 如是比丘起發牛角娑羅林
32,184,TRUE_PAIR,sariputta,舍利弗|舍梨子,舍梨子,VARIANT,seyyathāpi āvuso sāriputta cakkhumā puriso uparipāsādavaragato sahassaṃ nemimaṇḍalānaṃ volokeyya,尊者舍梨子復問曰 賢者離越哆 賢者阿難比丘已說隨所知 我今復問賢者離越哆 此牛角娑羅林甚可愛樂 夜有明月 諸娑羅樹皆敷妙香 猶若天花 賢者離越
32,184,TRUE_PAIR,sariputta,舍利弗|舍梨子,,MISSING,evameva kho āvuso sāriputta bhikkhu dibbena cakkhunā visuddhena atikkantamānusakena sahassaṃ lokānaṃ voloketi,哆 何等比丘起發牛角娑羅林
32,184,TRUE_PAIR,kassapa,迦葉|大迦葉,,MISSING,evaṃ vutte āyasmā sāriputto āyasmantaṃ mahākassapaṃ etadavoca byākataṃ kho āvuso kassapa āyasmatā anuruddhena yathāsakaṃ,尊者離越哆答曰 尊者舍梨子 若有比丘樂於燕坐 內行
32,184,TRUE_PAIR,moggallana,目犍連|目乾連,,MISSING,seyyathāpi āvuso moggallāna rañño vā rājamahāmattassa vā nānārattānaṃ dussānaṃ dussakaraṇḍako pūro assa,尊者舍梨子復問曰 賢者迦旃延 賢者阿那律陀比丘已說隨所知 我今復問賢者迦旃延 此牛角娑羅林甚可愛樂 夜有明月 諸娑羅樹皆敷妙香 猶若天花 賢者迦旃延 何等比丘起發牛角娑羅林
32,184,SOFT,sariputta,舍利弗|舍梨子,舍梨子,VARIANT,yathā taṃ kassapova sammā byākaramāno byākareyya kassapo hi sāriputta attanā ca āraññiko āraññikattassa ca vaṇṇavādī att,尊者大迦葉答曰 賢者舍梨子 若有比丘自無事稱說無事 自有少欲稱說少欲 自有知足稱說知足 自樂在遠離獨住稱說樂在遠離獨住 自修行精勤稱說修行精勤 自立正念正智稱說立正念正智 自得定稱說得定 自有智慧稱說智慧 自諸漏已盡稱說諸漏已盡 自勸發渴仰
32,184,TRUE_PAIR,moggallana,目犍連|目乾連,,MISSING,evaṃ vutte ahaṃ bhante āyasmantaṃ mahāmoggallānaṃ etadavocaṃ byākataṃ kho āvuso moggallāna āyasmatā mahākassapena yathās,人 我今問賢者阿難 此牛角娑羅林甚可愛樂 夜有明月 諸娑羅樹皆敷妙香 猶若天華 賢者阿難 何等比丘起發牛角娑羅林 賢者阿難即答我曰 尊者舍梨子 若有比丘廣學多聞 守持不忘 積聚博聞 所謂法者 初妙 中妙 竟亦妙 有義有文 具足清淨 顯現梵行
32,184,TRUE_PAIR,moggallana,目犍連|目乾連,,MISSING,tattha dāni mayaṃ āyasmantaṃ mahāmoggallānaṃ pucchāma pe kathaṃrūpena āvuso moggallāna bhikkhunā gosiṅgasālavanaṃ sobhey,世尊歎曰 善哉 善哉 舍梨子 實如阿難比丘所說 所以者何 阿難比丘成就多聞
32,184,TRUE_PAIR,sariputta,舍利弗|舍梨子,舍梨子,VARIANT,evaṃ vutte bhante āyasmā mahāmoggallāno maṃ etadavoca idhāvuso sāriputta dve bhikkhū abhidhammakathaṃ kathenti,尊者舍梨子白曰 世尊 賢者阿難如是說已 我復問曰 賢者離越哆 賢者阿難比丘已說隨所知 我今復問賢者離越哆 此牛角
32,184,TRUE_PAIR,sariputta,舍利弗|舍梨子,舍梨子,VARIANT,sādhu sādhu sāriputta yathā taṃ moggallānova sammā byākaramāno byākareyya moggallāno hi sāriputta dhammakathiko ti,世尊歎曰 善哉 善哉 舍梨子 如離越哆比丘所說 所以者何 離越哆比丘常樂坐禪
32,184,TRUE_PAIR,moggallana,目犍連|目乾連,,MISSING,seyyathāpi āvuso moggallāna rañño vā rājamahāmattassa vā nānārattānaṃ dussānaṃ dussakaraṇḍako pūro assa,微少方便須臾盡見 尊者舍梨子 如是比丘起發牛角娑羅林
32,184,SOFT,moggallana,目犍連|目乾連,,MISSING,sādhu sādhu moggallāna yathā taṃ sāriputtova sammā byākaramāno byākareyya,智慧 自諸漏已盡稱說諸漏已盡 自勸發渴仰成就歡喜稱說勸發渴仰成就歡喜 賢者舍梨子 如是比丘起發牛角娑羅林
32,184,SOFT,moggallana,目犍連|目乾連,,MISSING,sāriputto hi moggallāna cittaṃ vasaṃ vatteti no ca sāriputto cittassa vasena vattati,智慧 自諸漏已盡稱說諸漏已盡 自勸發渴仰成就歡喜稱說勸發渴仰成就歡喜 賢者舍梨子 如是比丘起發牛角娑羅林
