MN_No,MA_No,Pali_Chunk_ID,Han_Seg_ID,Mapping_Quality,Han_Fanout,Confidence_Tier,Emb_Sim_Combined,Lex_Overlap,Hyb_Similarity,P_Char_Len,H_Char_Len,Div_Score,Div_Type,Div_Confidence,Missing_Term_Score,Len_Asymmetry,Emb_Z,Sutta_Emb_Mean,Sutta_Emb_Std,Missing_Terms,Present_Terms,Pali_Text,Han_Text
3,88,MN.3.c002,MA.88.2,TRUE_PAIR,1,3,0.254,0.0,0.1524,311,23,0.8384,OMISSION,HIGH,0.8,3.757,0.923,0.3207,0.0723,savaka|tumhe|tena|viharanti,atthi,atthi me tumhesu anukampā kinti me sāvakā dhammadāyādā bhaveyyuṃ no āmisadāyādā ti tumhe ca me bhikkhave āmisadāyādā bhaveyyātha no dhammadāyādā tumhepi tena ādiyā bhaveyyātha āmisadāyādā satthusāvakā viharanti no dhammadāyādā ti ahampi tena ādiyo bhaveyyaṃ āmisadāyādā satthusāvakā viharanti no dham,等行求法 不行求飲食者 汝等既自好 我亦有名稱
3,88,MN.3.c003,MA.88.3,TRUE_PAIR,1,2,0.3132,0.2667,0.2946,294,168,0.7483,SEMANTIC_DRIFT,MEDIUM,1.0,0.807,0.104,0.3207,0.0723,tumhe|tena|viharanti,,tumhe ca me bhikkhave dhammadāyādā bhaveyyātha no āmisadāyādā tumhepi tena na ādiyā bhaveyyātha dhammadāyādā satthusāvakā viharanti no āmisadāyādā ti ahampi tena na ādiyo bhaveyyaṃ dhammadāyādā satthusāvakā viharanti no āmisadāyādā ti tasmātiha me bhikkhave dhammadāyādā bhavatha mā āmisadāyādā,云何諸弟子為求飲食故而依佛行 非為求法 我飽食訖 食事已辦 猶有殘食 於後有二比丘來 飢渴力羸 我語彼曰 我飽食訖 食事已辦 猶有殘食 汝等欲食者便取食之 若汝不取者 我便取以瀉著淨地 或復瀉著無蟲水中 彼二比丘 第一比丘便作是念 世尊食訖 食事已辦 猶有殘食 若我不取者 世尊必取瀉著淨地 或復瀉著無蟲水中 我今寧可取而食之 即便取食
3,88,MN.3.c010,MA.88.8,TRUE_PAIR,1,3,0.2234,0.1333,0.1874,197,44,0.8561,OMISSION,HIGH,1.0,2.163,1.346,0.3207,0.0723,bhikkhu|kissa|hetu,,kiñcāpi so bhikkhave bhikkhu taṃ piṇḍapātaṃ bhuñjitvā jighacchādubbalyaṃ paṭivinodetvā evaṃ taṃ rattindivaṃ vītināmeyya atha kho asuyeva me purimo bhikkhu pujjataro ca pāsaṃsataro ca taṃ kissa hetu,是時 尊者舍梨子亦在眾中 彼時 世尊告曰 舍梨子 汝為諸比丘說法如法 我患背痛 今欲小息
3,88,MN.3.c016,MA.88.11,TRUE_PAIR,1,2,0.356,0.087,0.2484,288,79,0.7024,OMISSION,MEDIUM,0.6667,1.866,-0.488,0.3207,0.0723,thera|bhikkhu|savaka|imina|sattha|dhamme,tatravuso|viharato|thanena,tatrāvuso therā bhikkhū tīhi ṭhānehi gārayhā bhavanti satthu pavivittassa viharato sāvakā vivekaṃ nānusikkhantī ti iminā paṭhamena ṭhānena therā bhikkhū gārayhā bhavanti yesañca dhammānaṃ satthā pahānamāha te ca dhamme nappajahantī ti iminā dutiyena ṭhānena therā bhikkhū gārayhā bhavanti,彼時 眾中或有比丘作如是說 尊者舍梨子 若諸長老上尊自說 我得究竟智 我生已盡 梵行已立 所作已辦 不更受有 知如真 諸梵行者聞彼比丘自說我得究竟智 便得歡喜
3,88,MN.3.c019,MA.88.13,TRUE_PAIR,1,3,0.2789,0.08,0.1994,259,317,0.6697,SEMANTIC_DRIFT,MEDIUM,0.625,-0.292,0.578,0.3207,0.0723,honti|bhikkhu|avuso|imehi|savaka,imina|thanena|viharato,bāhulikā ca honti sāthalikā okkamane pubbaṅgamā paviveke nikkhittadhurā ti iminā tatiyena ṭhānena navā bhikkhū gārayhā bhavanti navā āvuso bhikkhū imehi tīhi ṭhānehi gārayhā bhavanti ettāvatā kho āvuso satthu pavivittassa viharato sāvakā vivekaṃ nānusikkhanti,尊者舍梨子告彼比丘 諸賢等 聽我為汝說 諸賢 若有法 律尊師樂住遠離 上弟子不樂住遠離者 上弟子有三事可毀 云何為三 尊師樂住遠離 上弟子不學捨離 上弟子以此可毀 尊師若說可斷法 上弟子不斷彼法 上弟子以此可毀 所可受證 上弟子而捨方便 上弟子以此可毀 若有法 律尊師樂住遠離 上弟子不樂住遠離者 上弟子有此三事可毀 諸賢 若有法 律尊師樂住遠離 中 下弟子不樂住遠離者 中 下弟子有三事可毀 云何為三 尊師樂住遠離 中 下弟子不學捨離 中 下弟子以此可毀 尊師若說可斷法 中 下弟子不斷彼法 中 下弟子以此可毀 所可受證 中 下弟子而捨方便 中 下弟子以此可毀 若有法 律尊師樂住遠離 中 下弟子不
3,88,MN.3.c022,MA.88.15,TRUE_PAIR,1,2,0.3039,0.1,0.2223,257,189,0.6232,UNCERTAIN,MEDIUM,0.5,0.443,0.233,0.3207,0.0723,thera|bhikkhu|pasamsa|avuso,imina|thanena|imehi|tatravuso,na ca bāhulikā na sāthalikā okkamane nikkhittadhurā paviveke pubbaṅgamā ti iminā tatiyena ṭhānena therā bhikkhū pāsaṃsā bhavanti therā āvuso bhikkhū imehi tīhi ṭhānehi pāsaṃsā bhavanti tatrāvuso majjhimā bhikkhū pe navā bhikkhū tīhi ṭhānehi pāsaṃsā bhavanti,尊者舍梨子復告諸比丘 諸賢 有中道能得心住 得定得樂 順法次法 得通得覺 亦得涅槃 諸賢 云何有中道能得心住 得定得樂 順法次法 得通得覺 亦得涅槃 諸賢 念欲惡 惡念欲亦惡 彼斷念欲 亦斷惡念欲 如是恚 怨結 慳嫉 欺誑 諛諂 無慙 無愧 慢 最上慢 貢高 放逸 豪貴 憎諍 諸賢 貪亦惡 著亦惡 彼斷貪 亦斷著 諸賢 是謂中道能得心住 得定得樂 順法次法 得通得覺 亦得涅槃
3,88,MN.3.c030,MA.88.19,TRUE_PAIR,1,1,0.4312,0.1667,0.3254,63,24,0.4906,PARALLEL,MEDIUM,0.1667,1.392,-1.528,0.3207,0.0723,bhikkhu,attamana|ayasmato|sariputtassa|bhasitam|abhinandunti,attamanā te bhikkhū āyasmato sāriputtassa bhāsitaṃ abhinandunti,佛說如是 尊者舍梨子及諸比丘 聞佛所說 歡喜奉行
5,87,MN.5.c001,MA.87.1,TRUE_PAIR,1,2,0.3266,0.0,0.196,287,23,0.8444,OMISSION,HIGH,0.9167,3.641,-1.694,0.2134,0.0668,ekam|bhagava|viharati|ayasma|sariputto|bhikkhu|avuso|ayasmato,amantesi,evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tatra kho āyasmā sāriputto bhikkhū āmantesi āvuso bhikkhave ti āvuso ti kho te bhikkhū āyasmato sāriputtassa paccassosuṃ āyasmā sāriputto etadavoca cattārome āvuso puggalā santo saṃvijjamānā lokasmiṃ,我聞如是 一時 佛遊婆奇瘦 在鼉山怖林鹿野園中
5,87,MN.5.c002,MA.87.2,TRUE_PAIR,1,3,0.2387,0.0,0.1432,206,102,0.7783,SEMANTIC_DRIFT,HIGH,0.8,1.014,-0.379,0.2134,0.0668,puggalo|samano|atthi|ajjhattam|yathabhutam|idha|panavuso|pajanati,katame|ekacco,katame cattāro idhāvuso ekacco puggalo sāṅgaṇova samāno atthi me ajjhattaṃ aṅgaṇa nti yathābhūtaṃ nappajānāti idha panāvuso ekacco puggalo sāṅgaṇova samāno atthi me ajjhattaṃ aṅgaṇa nti yathābhūtaṃ pajānāti,爾時 尊者舍梨子告諸比丘 諸賢 世有四種人 云何為四 或有一人內實有穢不自知 內有穢不知如真 或有一人內實有穢自知 內有穢知如真 或有一人內實無穢不自知 內無穢不知如真 或有一人內實無穢自知 內無穢知如真
5,87,MN.5.c018,MA.87.11,TRUE_PAIR,1,3,0.1561,0.0,0.0936,276,44,0.8659,OMISSION,HIGH,0.8,2.649,0.858,0.2134,0.0668,yvayam|puggalo|samano|natthi|yathabhutam|pajanati|tassa|cittam,tatravuso|ajjhattam,tatrāvuso yvāyaṃ puggalo anaṅgaṇova samāno natthi me ajjhattaṃ aṅgaṇa nti yathābhūtaṃ pajānāti tassetaṃ pāṭikaṅkhaṃ subhanimittaṃ na manasi karissati tassa subhanimittassa amanasikārā rāgo cittaṃ nānuddhaṃsessati so arāgo adoso amoho anaṅgaṇo asaṃkiliṭṭhacitto kālaṃ karissati,於是 復有比丘即從坐起 偏袒著衣 叉手向尊者舍梨子 白曰 尊者舍梨子 所說穢者 何等為穢
5,87,MN.5.c025,MA.87.15,TRUE_PAIR,1,3,0.2023,0.1111,0.1658,224,31,0.8063,OMISSION,MEDIUM,0.7143,2.853,0.166,0.2134,0.0668,avuso|vijjati|bhikkhu|hoti|ceva,thanam|panetam,ṭhānaṃ kho panetaṃ āvuso vijjati yaṃ taṃ bhikkhuṃ bhikkhū saṅghamajjhe codeyyuṃ no anuraho saṅghamajjhe maṃ bhikkhū codenti no anuraho ti iti so kupito hoti appatīto yo ceva kho āvuso kopo yo ca appaccayo ubhayametaṃ aṅgaṇaṃ,賢者 或有一人心生如是欲 諸比丘已入內時 令我最在上坐 得第一
5,87,MN.5.c030,MA.87.18,TRUE_PAIR,1,2,0.3271,0.125,0.2463,233,134,0.6708,SEMANTIC_DRIFT,MEDIUM,0.6667,0.798,-1.702,0.2134,0.0668,sattha|hoti|ceva|avuso,annam|deseti,aññaṃ bhikkhuṃ satthā paṭipucchitvā paṭipucchitvā bhikkhūnaṃ dhammaṃ deseti na maṃ satthā paṭipucchitvā paṭipucchitvā bhikkhūnaṃ dhammaṃ desetī ti iti so kupito hoti appatīto yo ceva kho āvuso kopo yo ca appaccayo ubhayametaṃ aṅgaṇaṃ,賢者 或有一人心生如是欲 諸居士往詣眾園時 令我與共會共集 共坐共論 莫令餘比丘諸居士往詣眾園時 與共會共集 共坐共論 賢者 或有餘比丘諸居士往詣眾園時 與共會共集 共坐共論 彼因餘比丘諸居士往詣眾園時 與共會共集 共坐共論故 心便生惡 若彼心生惡及心生欲者 俱是不善
5,87,MN.5.c040,MA.87.23,TRUE_PAIR,1,3,0.2423,0.0,0.1454,271,129,0.8388,SEMANTIC_DRIFT,HIGH,1.0,1.071,-0.433,0.2134,0.0668,thanam|panetam|avuso|vijjati|anno|bhikkhu|deseti|hoti,,ṭhānaṃ kho panetaṃ āvuso vijjati yaṃ añño bhikkhu ārāmagatānaṃ bhikkhūnaṃ dhammaṃ deseyya na so bhikkhu ārāmagatānaṃ bhikkhūnaṃ dhammaṃ deseyya añño bhikkhu ārāmagatānaṃ bhikkhūnaṃ dhammaṃ deseti nāhaṃ ārāmagatānaṃ bhikkhūnaṃ dhammaṃ desemī ti iti so kupito hoti appatīto,賢者 猶如有人或從市肆 或從銅作家 買銅合槃來 盛滿中糞 蓋覆其上便持而去 經過店肆 近眾人行 彼眾見已 皆欲得食 意甚愛樂 而不憎惡 則生淨想 彼持去已 住在一處便開示之 眾人見已 皆不欲食 無愛樂意 甚憎惡之 生不淨想 若欲食者則不復用 況其本自不欲食耶
5,87,MN.5.c044,MA.87.25,TRUE_PAIR,1,3,0.2625,0.0,0.1575,173,17,0.8405,OMISSION,HIGH,0.8182,3.347,-0.735,0.2134,0.0668,avuso|vijjati|annam|bhikkhu|sakkareyyum|garum|kareyyum|maneyyum,thanam|panetam,ṭhānaṃ kho panetaṃ āvuso vijjati yaṃ aññaṃ bhikkhuṃ bhikkhū sakkareyyuṃ garuṃ kareyyuṃ māneyyuṃ pūjeyyuṃ na taṃ bhikkhuṃ bhikkhū sakkareyyuṃ garuṃ kareyyuṃ māneyyuṃ pūjeyyuṃ,義 則不饒益 不安隱快樂 生苦憂慼
5,87,MN.5.c045,MA.87.26,TRUE_PAIR,1,2,0.3314,0.0,0.1988,209,245,0.7451,SEMANTIC_DRIFT,MEDIUM,0.9,-0.229,-1.766,0.2134,0.0668,bhikkhu|sakkaronti|garum|karonti|manenti|pujenti|hoti|ceva,annam,aññaṃ bhikkhuṃ bhikkhū sakkaronti garuṃ karonti mānenti pūjenti na maṃ bhikkhū sakkaronti garuṃ karonti mānenti pūjentī ti iti so kupito hoti appatīto yo ceva kho āvuso kopo yo ca appaccayo ubhayametaṃ aṅgaṇaṃ,賢者 或有一人心不生如是欲 我所犯戒 莫令他人知我犯戒 賢者 或有他人知彼犯戒 彼因他人知犯戒故 心不生惡 若彼心無惡 心不生欲者 是二俱善 賢者 或有一人心不生如是欲 我所犯戒 當令他人於屏處訶 莫令在眾訶我犯戒 賢者 或有他人於眾中訶 不在屏處 彼因在眾中訶 不在屏處故 心不生惡 若彼心無惡 心不生欲者 是二俱善 賢者 或有一人心不生如是欲 我所犯戒 令勝人訶 莫令不如人訶我犯戒 賢者 或有不如人訶彼犯戒 非是勝人 彼因不如人訶 非勝人故 心不生惡 若彼心無惡 心不生欲者 是二俱善
5,87,MN.5.c051,MA.87.29,TRUE_PAIR,1,3,0.2193,0.0,0.1316,283,27,0.8223,OMISSION,HIGH,0.7,3.39,-0.088,0.2134,0.0668,avuso|vijjati|iccha|assam|anno|bhikkhu|assa,thanam|panetam|vata,ṭhānaṃ kho panetaṃ āvuso vijjati yaṃ idhekaccassa bhikkhuno evaṃ icchā uppajjeyya aho vata ahameva lābhī assaṃ paṇītānaṃ piṇḍapātānaṃ pe paṇītānaṃ senāsanānaṃ pe paṇītānaṃ gilānappaccayabhesajjaparikkhārānaṃ na añño bhikkhu lābhī assa paṇītānaṃ gilānappaccayabhesajjaparikkhārāna nti,彼將入內故 心不生惡 若彼心無惡 心不生欲者 是二俱善
5,87,MN.5.c055,MA.87.37,TRUE_PAIR,1,3,0.1636,0.0,0.0982,176,41,0.9046,OMISSION,HIGH,1.0,2.102,0.745,0.2134,0.0668,kissa|hetu|tassa|ayasmato|papaka|akusala|ceva|seyyathapi,,taṃ kissa hetu te hi tassa āyasmato pāpakā akusalā icchāvacarā appahīnā dissanti ceva sūyanti ca seyyathāpi āvuso kaṃsapāti ābhatā āpaṇā vā kammārakulā vā parisuddhā pariyodātā,賢者 猶如有人或從市肆 或從銅作家 買銅合槃來 盛滿種種淨美飲食 蓋覆其上便持而去
5,87,MN.5.c056,MA.87.38,TRUE_PAIR,1,3,0.1851,0.0,0.1111,249,109,0.5657,UNCERTAIN,MEDIUM,0.0,1.192,0.424,0.2134,0.0668,,tamenam|ambho,tamenaṃ sāmikā ahikuṇapaṃ vā kukkurakuṇapaṃ vā manussakuṇapaṃ vā racayitvā aññissā kaṃsapātiyā paṭikujjitvā antarāpaṇaṃ paṭipajjeyyuṃ tamenaṃ jano disvā evaṃ vadeyya ambho kimevidaṃ harīyati jaññajaññaṃ viyā ti tamenaṃ uṭṭhahitvā apāpuritvā olokeyya,經過店肆 近眾人行 彼眾見已 皆不欲食 無愛樂意 甚憎惡之 生不淨想 便作是說 即彼糞去 即彼糞去 彼持去已 住在一處便開示之 眾人見已 則皆欲食 意甚愛樂而不憎惡 則生淨想 彼若本不用食者 見已欲食 況復其本欲得食耶
5,87,MN.5.c057,MA.87.40,TRUE_PAIR,1,3,0.1484,0.0,0.089,153,29,0.9206,OMISSION,HIGH,1.0,2.399,0.973,0.2134,0.0668,tassa|assa,,tassa sahadassanena amanāpatā ca saṇṭhaheyya pāṭikulyatā ca saṇṭhaheyya jegucchatā ca saṇṭhaheyya jighacchitānampi na bhottukamyatā assa pageva suhitānaṃ,爾時 尊者大目揵連在彼眾中 於是 尊者大目揵連白曰 尊者舍
5,87,MN.5.c058,MA.87.41,TRUE_PAIR,1,3,0.1597,0.0,0.0958,298,16,0.9361,OMISSION,HIGH,1.0,4.219,0.804,0.2134,0.0668,evameva|avuso|papaka|akusala|ceva|hoti|sakkaronti|garum,,evameva kho āvuso yassa kassaci bhikkhuno ime pāpakā akusalā icchāvacarā appahīnā dissanti ceva sūyanti ca kiñcāpi so hoti āraññiko pantasenāsano piṇḍapātiko sapadānacārī paṃsukūliko lūkhacīvaradharo atha kho naṃ sabrahmacārī na ceva sakkaronti na garuṃ karonti na mānenti na pūjenti taṃ kissa hetu,梨子 我今欲為此事說喻 聽我說耶
5,87,MN.5.c059,MA.87.42,TRUE_PAIR,1,3,0.2001,0.0,0.1201,303,23,0.8927,OMISSION,HIGH,0.9091,3.72,0.199,0.2134,0.0668,tassa|papaka|akusala|ceva|avuso|hoti|sakkaronti|garum,ayasmato,te hi tassa āyasmato pāpakā akusalā icchāvacarā appahīnā dissanti ceva sūyanti ca yassa kassaci āvuso bhikkhuno ime pāpakā akusalā icchāvacarā pahīnā dissanti ceva sūyanti ca kiñcāpi so hoti gāmantavihārī nemantaniko gahapaticīvaradharo atha kho naṃ sabrahmacārī sakkaronti garuṃ karonti mānenti pūje,尊者舍梨子告曰 賢者大目揵連 欲說喻者便可說之
5,87,MN.5.c060,MA.87.43,TRUE_PAIR,1,3,0.1309,0.0,0.0785,174,65,0.8617,SEMANTIC_DRIFT,HIGH,0.8889,1.421,1.235,0.2134,0.0668,kissa|hetu|tassa|papaka|akusala|ceva|seyyathapi|avuso,ayasmato,taṃ kissa hetu te hi tassa āyasmato pāpakā akusalā icchāvacarā pahīnā dissanti ceva sūyanti ca seyyathāpi āvuso kaṃsapāti ābhatā āpaṇā vā kammārakulā vā parisuddhā pariyodātā,尊者大目揵連則便白曰 尊者舍梨子 我憶一時遊王舍城 在巖山中 我於爾時過夜平旦 著衣持鉢 入王舍城而行乞食 詣舊車師無衣滿子家 時
5,87,MN.5.c064,MA.87.45,TRUE_PAIR,1,3,0.2038,0.0,0.1223,273,12,0.9185,OMISSION,HIGH,1.0,4.508,0.144,0.2134,0.0668,tassa|ayasmato|papaka|akusala|ceva|vutte|ayasma|etadavoca,,te hi tassa āyasmato pāpakā akusalā icchāvacarā pahīnā dissanti ceva sūyanti cā ti evaṃ vutte āyasmā mahāmoggallāno āyasmantaṃ sāriputtaṃ etadavoca upamā maṃ āvuso sāriputta paṭibhātī ti paṭibhātu taṃ āvuso moggallānā ti ekamidāhaṃ āvuso samayaṃ rājagahe viharāmi giribbaje,得食 渴欲得飲 口及意也
5,87,MN.5.c072,MA.87.49,TRUE_PAIR,1,3,0.1299,0.0,0.0779,70,13,0.929,OMISSION,HIGH,1.0,2.429,1.25,0.2134,0.0668,sadhu|vata|akusala,,sādhu vata bho sabrahmacārī akusalā vuṭṭhāpetvā kusale patiṭṭhāpetī ti,如是二尊更相稱說 從座起去
6,105,MN.6.c001,MA.105.2,TRUE_PAIR,1,2,0.3463,0.25,0.3078,198,57,0.6589,OMISSION,MEDIUM,0.625,1.796,-0.707,0.3127,0.0475,ekam|bhagava|viharati|bhikkhu|bhagavato,amantesi|paccassosum|etadavoca,evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tatra kho bhagavā bhikkhū āmantesi bhikkhavo ti bhadante ti te bhikkhū bhagavato paccassosuṃ bhagavā etadavoca,爾時 有一比丘在遠離獨任 閑居靜處 宴坐思惟 心作是念 世尊慰勞共我語言 為我說法 得具足戒而不廢禪 成就觀行於空
6,105,MN.6.c008,MA.105.6,TRUE_PAIR,1,3,0.2791,0.1429,0.2246,195,210,0.7633,SEMANTIC_DRIFT,MEDIUM,1.0,-0.107,0.707,0.3127,0.0475,akankheyya|bhikkhu|assam|uppannam|silesvevassa|paripurakari|bruheta|sunnagaranam,,ākaṅkheyya ce bhikkhave bhikkhu bhayabheravasaho assaṃ na ca maṃ bhayabheravaṃ saheyya uppannaṃ bhayabheravaṃ abhibhuyya abhibhuyya vihareyya nti sīlesvevassa paripūrakārī pe brūhetā suññāgārānaṃ,比丘 當願我離欲 離惡不善之法 至得第四禪成就遊 得具足戒而不廢禪 成就觀行於空靜處 比丘 當願我三結已盡 得須陀洹 不墮惡法 定趣正覺 極受七有 天上人間七往來已 便得苦邊 得具足戒而不廢禪 成就觀行於空靜處 比丘 當願我三結已盡 婬 怒 癡薄 得一往來天上人間 一往來已 便得苦邊 得具足戒而不廢禪 成就觀行於空靜處 比丘 當願我五下分結盡 生於彼間 便般涅槃 得不退法 不還此世 得具足戒而不廢禪 成就觀行於空靜處
7,93,MN.7.c001,MA.93.1,TRUE_PAIR,1,3,0.2248,0.0,0.1349,198,34,0.8573,OMISSION,HIGH,0.875,2.542,0.573,0.2762,0.0896,ekam|bhagava|viharati|bhikkhu|bhagavato|paccassosum|etadavoca,amantesi,evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tatra kho bhagavā bhikkhū āmantesi bhikkhavo ti bhadante ti te bhikkhū bhagavato paccassosuṃ bhagavā etadavoca,我聞如是 一時 佛遊欝鞞羅尼連然河岸 在阿耶惒羅尼拘類樹下 初得道時
7,93,MN.7.c002,MA.93.2,TRUE_PAIR,1,3,0.254,0.0,0.1524,264,18,0.8384,OMISSION,HIGH,0.8,3.874,0.247,0.2762,0.0896,seyyathapi|rajako|kissa|hetu,tamenam,seyyathāpi bhikkhave vatthaṃ saṃkiliṭṭhaṃ malaggahitaṃ tamenaṃ rajako yasmiṃ yasmiṃ raṅgajāte upasaṃhareyya yadi nīlakāya yadi pītakāya yadi lohitakāya yadi mañjiṭṭhakāya durattavaṇṇamevassa aparisuddhavaṇṇamevassa taṃ kissa hetu aparisuddhattā bhikkhave vatthassa,於是 有一水淨梵志 中後仿佯往詣佛所
